Applicant,Credit Score,Income Stability,Debt-to-Income Ratio
Applicant A,0.374540119,Unstable,0.731993942
Applicant D,0.598658484,Unstable,0.15599452
Applicant D,0.058083612,Stable,0.601115012
Applicant B,0.708072578,Unstable,0.969909852
Applicant C,0.832442641,Stable,0.181824967
Applicant C,0.18340451,Stable,0.524756432
Applicant C,0.431945019,Unstable,0.611852895
Applicant D,0.139493861,Unstable,0.366361843
Applicant D,0.456069984,Unstable,0.199673782
Applicant D,0.514234438,Unstable,0.046450413
Applicant A,0.607544852,Stable,0.065051593
Applicant B,0.948885537,Unstable,0.808397348
Applicant D,0.304613769,Stable,0.684233027
Applicant B,0.440152494,Unstable,0.49517691
Applicant B,0.034388521,Unstable,0.258779982
Applicant C,0.662522284,Unstable,0.520068021
Applicant A,0.546710279,Stable,0.969584628
Applicant D,0.775132823,Unstable,0.89482735
Applicant C,0.597899979,Unstable,0.088492502
Applicant C,0.195982862,Unstable,0.325330331
Applicant D,0.38867729,Unstable,0.828737509
Applicant B,0.356753327,Stable,0.542696083
Applicant C,0.140924225,Unstable,0.074550644
Applicant B,0.986886937,Stable,0.198715682
Applicant A,0.005522117,Stable,0.706857344
Applicant B,0.729007168,Stable,0.074044652
Applicant A,0.358465729,Stable,0.863103426
Applicant B,0.623298127,Stable,0.06355835
Applicant C,0.310982322,Stable,0.729606178
Applicant C,0.637557471,Unstable,0.472214925
Applicant A,0.119594246,Stable,0.760785049
Applicant D,0.561277198,Stable,0.493795596
Applicant A,0.522732829,Stable,0.025419127
Applicant A,0.107891427,Unstable,0.636410411
Applicant B,0.314355981,Unstable,0.907566474
Applicant B,0.249292229,Stable,0.755551139
Applicant A,0.228798165,Unstable,0.289751453
Applicant C,0.161221287,Stable,0.80812038
Applicant B,0.633403757,Stable,0.803672077
Applicant D,0.186570059,Unstable,0.539342242
Applicant B,0.807440155,Stable,0.318003475
Applicant B,0.110051925,Unstable,0.427107789
Applicant D,0.818014766,Unstable,0.006952131
Applicant A,0.510747303,Stable,0.22210781
Applicant D,0.119865367,Stable,0.942909704
Applicant A,0.323202932,Unstable,0.703018959
Applicant A,0.363629602,Stable,0.962447295
Applicant A,0.251782296,Stable,0.30087831
Applicant D,0.284840494,Stable,0.609564334
Applicant A,0.502679023,Unstable,0.278646464
Applicant C,0.908265886,Unstable,0.144894872
Applicant D,0.48945276,Stable,0.242055272
Applicant C,0.672135547,Unstable,0.237637544
Applicant A,0.728216349,Unstable,0.632305831
Applicant B,0.633529711,Unstable,0.09028977
Applicant A,0.835302496,Unstable,0.18651851
Applicant C,0.040775142,Unstable,0.677564362
Applicant C,0.016587829,Stable,0.226495775
Applicant D,0.64517279,Stable,0.690937738
Applicant B,0.386735346,Stable,0.137520944
Applicant D,0.341066351,Unstable,0.924693618
Applicant C,0.877339353,Unstable,0.659984046
Applicant A,0.8172222,Stable,0.529650578
Applicant B,0.241852291,Unstable,0.897215758
Applicant A,0.900418057,Stable,0.339029791
Applicant A,0.349209575,Stable,0.89711026
Applicant B,0.887086424,Stable,0.642031646
Applicant D,0.084139965,Unstable,0.898554189
Applicant A,0.60642906,Unstable,0.101471543
Applicant C,0.663501769,Stable,0.160808051
Applicant A,0.548733789,Stable,0.65196126
Applicant B,0.224269309,Stable,0.237249087
Applicant B,0.325399698,Stable,0.649632899
Applicant B,0.84922341,Unstable,0.568308603
Applicant D,0.093674768,Unstable,0.265202368
Applicant A,0.243989643,Stable,0.393097725
Applicant D,0.892046555,Stable,0.794811304
Applicant D,0.502637093,Unstable,0.492517694
Applicant B,0.195242988,Unstable,0.280772362
Applicant B,0.024315966,Stable,0.177110679
Applicant D,0.940458584,Stable,0.91486439
Applicant A,0.3701587,Stable,0.928318563
Applicant C,0.428184148,Unstable,0.963619977
Applicant D,0.853009455,Unstable,0.385097729
Applicant A,0.851136672,Unstable,0.169492747
Applicant B,0.556801262,Stable,0.696029797
Applicant B,0.57006117,Stable,0.615007227
Applicant A,0.99005385,Unstable,0.518329652
Applicant C,0.877373072,Unstable,0.697015741
Applicant B,0.702484084,Stable,0.293591844
Applicant B,0.809361155,Unstable,0.867072319
Applicant B,0.913240553,Unstable,0.501516295
Applicant A,0.798295179,Stable,0.701966877
Applicant D,0.795792669,Unstable,0.337995157
Applicant B,0.375582953,Stable,0.578280141
Applicant D,0.035942274,Stable,0.542644635
Applicant C,0.286541252,Stable,0.03050025
Applicant B,0.037348189,Stable,0.360190641
Applicant B,0.127060513,Stable,0.769993553
Applicant C,0.215821027,Stable,0.085347465
